pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Rhett Lowder,CIN,2024,1.17,3.1,4.73,6.46,4.11,0.172,0.109,1.27,30.2,0.0,0.385,0.897,0.9,33876
Dedniel Nunez,NYM,2024,2.31,2.22,2.32,12.34,2.06,0.35600000000000004,0.059000000000000004,0.91,35.0,0.77,0.526,0.755,0.9,23055
Matthew Boyd,CLE,2024,2.72,3.29,3.89,10.44,2.95,0.27699999999999997,0.078,1.13,39.2,0.91,0.314,0.7490000000000001,0.9,15440
Ryan Pressly,HOU,2024,3.49,3.1,3.43,9.21,2.86,0.23800000000000002,0.07400000000000001,1.34,56.2,0.64,0.488,0.732,0.9,7005
Trevor Rogers,- - -,2024,4.92,4.52,4.7,7.02,4.05,0.17300000000000001,0.1,1.58,124.1,1.01,0.46299999999999997,0.698,0.9,22286
Kris Bubic,KCR,2024,2.67,1.95,2.04,11.57,1.48,0.322,0.040999999999999995,1.02,30.1,0.59,0.562,0.674,0.9,21455
Ben Lively,CLE,2024,3.81,4.66,4.57,7.03,2.92,0.187,0.078,1.25,151.0,1.37,0.419,0.784,0.8,14932
Colin Rea,MIL,2024,4.29,4.75,4.42,7.25,2.31,0.18899999999999997,0.06,1.26,167.2,1.56,0.38799999999999996,0.7659999999999999,0.8,12317
James Paxton,- - -,2024,4.4,4.79,5.21,6.55,4.49,0.16699999999999998,0.114,1.45,100.1,1.08,0.375,0.72,0.8,11828
Kyle Harrison,SFG,2024,4.56,4.33,4.23,8.54,3.04,0.222,0.079,1.34,124.1,1.3,0.409,0.733,0.8,27758
Brant Hurter,DET,2024,2.58,3.03,3.32,7.54,1.19,0.217,0.034,0.88,45.1,0.79,0.531,0.785,0.8,30133
Jose Leclerc,TEX,2024,4.32,3.48,3.66,12.02,4.32,0.309,0.111,1.32,66.2,0.95,0.35200000000000004,0.718,0.8,14524
Kevin Kelly,TBR,2024,2.67,3.27,3.13,8.02,1.15,0.22699999999999998,0.032,0.96,70.2,0.89,0.568,0.759,0.8,25679
Dylan Lee,ATL,2024,2.11,3.0,3.15,11.46,2.56,0.317,0.071,1.11,59.2,1.06,0.35200000000000004,0.836,0.8,19996
Jakob Junis,- - -,2024,2.69,3.69,3.87,6.85,1.07,0.20199999999999999,0.032,0.85,67.0,1.07,0.387,0.779,0.8,13619
Beau Brieske,DET,2024,3.59,3.51,4.27,9.18,3.99,0.245,0.106,1.26,67.2,0.67,0.376,0.7,0.8,26079
Tony Santillan,CIN,2024,3.0,2.73,2.51,13.8,2.7,0.377,0.07400000000000001,1.0,30.0,1.2,0.32299999999999995,0.779,0.8,19926
Shane Bieber,CLE,2024,0.0,0.08,0.59,15.0,0.75,0.444,0.022000000000000002,0.92,12.0,0.0,0.5,1.0,0.8,19427
Devin Williams,MIL,2024,1.25,2.06,2.44,15.78,4.57,0.43200000000000005,0.125,0.97,21.2,0.42,0.43200000000000005,0.9259999999999999,0.8,15816
Nick Mears,- - -,2024,5.93,3.39,3.47,11.71,3.75,0.293,0.094,1.47,57.2,1.09,0.408,0.598,0.8,25376
Michael Lorenzen,- - -,2024,3.31,4.89,4.95,6.7,4.14,0.18100000000000002,0.11199999999999999,1.24,130.1,1.17,0.418,0.8240000000000001,0.7,14843
Joey Estes,OAK,2024,5.01,4.94,5.29,6.49,1.9,0.16899999999999998,0.05,1.23,127.2,1.62,0.24600000000000002,0.6970000000000001,0.7,26257
Bryan Hudson,MIL,2024,1.73,3.6,3.6,8.95,2.45,0.268,0.07400000000000001,0.72,62.1,1.01,0.41200000000000003,0.9420000000000001,0.7,19924
Justin Verlander,HOU,2024,5.48,4.78,5.13,7.37,2.69,0.187,0.068,1.38,90.1,1.49,0.282,0.682,0.7,8700
