game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-04-09,CLE,CWS,0.4211,0,0,1,8.54,12.0,-3.46,0.2,0,0,1
2024-04-09,BOS,BAL,0.3657,0,0,1,10.66,8.0,2.66,0.2453,0,0,1
2024-04-09,PIT,DET,0.4667,0,0,1,9.6,8.0,1.6,0.2453,0,0,1
2024-04-10,KC,HOU,0.5233,1,1,1,7.59,13.0,-5.41,0.3295,0,1,0
2024-04-10,TEX,OAK,0.6842,1,1,1,10.3,8.0,2.3,0.5315,1,1,1
2024-04-10,BOS,BAL,0.5364,1,0,0,11.79,12.0,-0.21,0.3529,0,0,1
2024-04-10,CIN,MIL,0.5364,1,0,0,8.45,9.0,-0.55,0.3295,0,0,1
2024-04-10,SD,CHC,0.6842,1,1,1,9.33,12.0,-2.67,0.5315,1,1,1
2024-04-10,CLE,CWS,0.3657,0,1,0,8.07,13.0,-4.93,0.2453,0,0,1
2024-04-10,LAA,TB,0.4947,0,0,1,6.69,6.0,0.69,0.2941,0,0,1
2024-04-10,NYY,MIA,0.4947,0,0,1,9.32,7.0,2.32,0.2453,0,0,1
2024-04-10,COL,AZ,0.5814,1,0,0,12.45,8.0,4.45,0.3529,0,0,1
2024-04-10,TOR,SEA,0.4947,0,0,1,7.94,7.0,0.94,0.2,0,0,1
2024-04-10,STL,PHI,0.3657,0,0,1,7.69,7.0,0.69,0.2453,0,0,1
2024-04-10,MIN,LAD,0.4667,0,1,0,10.33,5.0,5.33,0.3117,0,0,1
2024-04-10,SF,WSH,0.5364,1,1,1,8.71,8.0,0.71,0.5315,1,1,1
2024-04-11,BOS,BAL,0.525,1,0,0,7.62,13.0,-5.38,0.3295,0,0,1
2024-04-11,PHI,PIT,0.5814,1,1,1,9.08,6.0,3.08,0.5315,1,1,1
2024-04-11,TEX,OAK,0.5233,1,0,0,10.27,1.0,9.27,0.299,0,0,1
2024-04-11,KC,HOU,0.3657,0,1,0,7.52,16.0,-8.48,0.2453,0,1,0
2024-04-11,ATL,NYM,0.4667,0,0,1,9.82,20.0,-10.18,0.2453,0,0,1
2024-04-12,OAK,WSH,0.3657,0,1,0,9.4,3.0,6.4,0.2941,0,0,1
2024-04-12,SEA,CHC,0.6842,1,1,1,7.62,6.0,1.62,0.5315,1,1,1
2024-04-12,AZ,STL,0.5364,1,0,0,8.79,15.0,-6.21,0.3469,0,0,1
2024-04-12,LAD,SD,0.3657,0,0,1,8.2,15.0,-6.8,0.2941,0,0,1
2024-04-12,HOU,TEX,0.3657,0,0,1,11.04,20.0,-8.96,0.2453,0,0,1
2024-04-12,CWS,CIN,0.4667,0,0,1,9.06,12.0,-2.94,0.3469,0,0,1
2024-04-12,MIA,ATL,0.3657,0,0,1,9.33,9.0,0.33,0.3295,0,0,1
2024-04-12,NYM,KC,0.525,1,1,1,8.38,7.0,1.38,0.3469,0,1,0
2024-04-12,BOS,LAA,0.6842,1,0,0,8.67,7.0,1.67,0.5315,1,0,0
2024-04-12,TB,SF,0.5364,1,1,1,11.79,3.0,8.79,0.2453,0,0,1
2024-04-12,BAL,MIL,0.4947,0,0,1,9.56,12.0,-2.44,0.2453,0,0,1
2024-04-12,PHI,PIT,0.5814,1,0,0,7.96,7.0,0.96,0.5315,1,0,0
2024-04-12,DET,MIN,0.3657,0,1,0,7.73,10.0,-2.27,0.3295,0,1,0
2024-04-12,TOR,COL,0.3657,0,0,1,8.11,16.0,-7.89,0.3295,0,0,1
2024-04-13,BOS,LAA,0.5814,1,1,1,8.77,9.0,-0.23,0.3529,0,1,0
2024-04-13,TB,SF,0.5364,1,0,0,8.92,13.0,-4.08,0.3295,0,0,1
2024-04-13,MIA,ATL,0.4667,0,1,0,7.86,6.0,1.86,0.3295,0,1,0
2024-04-13,SEA,CHC,0.4667,0,0,1,7.93,5.0,2.93,0.2453,0,0,1
2024-04-13,LAD,SD,0.5364,1,1,1,9.77,7.0,2.77,0.5315,1,1,1
2024-04-13,TOR,COL,0.5364,1,1,1,10.38,8.0,2.38,0.3295,0,1,0
2024-04-13,OAK,WSH,0.3319,0,0,1,10.2,4.0,6.2,0.2453,0,0,1
2024-04-13,BAL,MIL,0.5814,1,0,0,8.31,16.0,-7.69,0.3295,0,0,1
2024-04-13,PHI,PIT,0.5814,1,1,1,8.01,7.0,1.01,0.3529,0,0,1
