team_abb,statcast_xwoba,statcast_barrel_pct,statcast_hard_hit_pct,statcast_avg_ev,statcast_n_batted,statcast_avg_la,period_start,type
SEA,0.39963612588868913,0.09630818619582665,0.4301765650080257,89.17897271268058,623,14.354735152487962,2023-06-21,batting
SF,0.37942476606503084,0.07325383304940375,0.4122657580919932,88.7015332197615,587,14.29541595925297,2023-06-21,batting
STL,0.39051559728755314,0.07108239095315025,0.4135702746365105,88.99806138933765,619,10.869354838709677,2023-06-21,batting
TB,0.33700800902809797,0.04784688995215311,0.3875598086124402,88.34338118022329,627,11.820063694267516,2023-06-21,batting
TEX,0.42029381027829604,0.09281437125748503,0.40119760479041916,89.97859281437125,668,14.672155688622755,2023-06-21,batting
TOR,0.37382805835105104,0.07517482517482517,0.4178321678321678,88.93199300699301,572,13.582897033158813,2023-06-21,batting
WSH,0.3331394287206194,0.04678362573099415,0.3084795321637427,86.62967836257309,684,12.416909620991254,2023-06-21,batting
ATH,0.35889093080461704,0.07453416149068323,0.3804347826086957,88.98167701863353,644,14.710526315789474,2023-06-21,pitching
ATL,0.35900034195731106,0.058925476603119586,0.35181975736568455,87.42790294627383,577,13.27209705372617,2023-06-21,pitching
AZ,0.36106619285717234,0.08237232289950576,0.39373970345963755,89.50527182866557,607,13.86490939044481,2023-06-21,pitching
BAL,0.37041417996743414,0.07644305772230889,0.4165366614664587,88.62184087363494,641,10.671850699844478,2023-06-21,pitching
BOS,0.3639715205724588,0.07973421926910298,0.37375415282392027,88.1016611295681,602,11.996677740863788,2023-06-21,pitching
CHC,0.36295803065195636,0.06645569620253164,0.37816455696202533,87.79161392405064,632,10.780063291139241,2023-06-21,pitching
CIN,0.3637104279190164,0.07228915662650602,0.39759036144578314,88.87635542168675,664,15.454954954954955,2023-06-21,pitching
CLE,0.36864223404330865,0.0624,0.3792,89.12992,625,12.749201277955272,2023-06-21,pitching
COL,0.37879916047835827,0.06393442622950819,0.44098360655737706,89.19704918032787,610,14.165302782324058,2023-06-21,pitching
CWS,0.3851442490395911,0.07155025553662692,0.3986371379897785,89.14735945485519,587,13.193877551020408,2023-06-21,pitching
DET,0.3976633622028243,0.081377151799687,0.39593114241001565,89.13114241001566,639,12.6140625,2023-06-21,pitching
HOU,0.38495009309582634,0.09246575342465753,0.4126712328767123,88.60530821917808,584,13.88527397260274,2023-06-21,pitching
KC,0.36940380689572944,0.05555555555555555,0.36666666666666664,88.06,720,13.188888888888888,2023-06-21,pitching
LAA,0.40523471194181515,0.09236234458259325,0.40852575488454707,89.48188277087034,563,13.047957371225577,2023-06-21,pitching
LAD,0.33765169991560817,0.054385964912280704,0.3508771929824561,87.46175438596491,570,13.005263157894737,2023-06-21,pitching
MIA,0.3935957078089725,0.07642276422764227,0.4276422764227642,90.09772357723577,615,10.813614262560778,2023-06-21,pitching
MIL,0.3616950116508259,0.042833607907743,0.385502471169687,88.34761120263592,607,12.192751235584844,2023-06-21,pitching
MIN,0.3832867114683331,0.07540394973070018,0.4111310592459605,88.8129263913824,557,15.456014362657092,2023-06-21,pitching
NYM,0.35337620915332796,0.06086956521739131,0.4017391304347826,88.75008695652174,575,13.368695652173914,2023-06-21,pitching
NYY,0.373026147608146,0.07186544342507645,0.382262996941896,88.24403669724771,654,13.558103975535168,2023-06-21,pitching
PHI,0.3481029073624948,0.05348460291734198,0.3760129659643436,87.88914100486224,617,9.017828200972447,2023-06-21,pitching
PIT,0.37996268019200435,0.06986899563318777,0.3653566229985444,87.40494905385735,687,10.261627906976743,2023-06-21,pitching
SD,0.3635434950214886,0.054009819967266774,0.3502454991816694,86.97675941080198,611,9.879084967320262,2023-06-21,pitching
SEA,0.3754473129050716,0.078003120124805,0.3790951638065523,88.47987519500779,641,13.648985959438377,2023-06-21,pitching
SF,0.3816567896004242,0.0734375,0.4140625,89.07015625,640,11.2375,2023-06-21,pitching
STL,0.38398932333231023,0.05637982195845697,0.4198813056379822,88.95860534124628,674,9.167655786350148,2023-06-21,pitching
TB,0.38708249715186793,0.08375209380234507,0.42546063651591287,89.82227805695143,597,11.165551839464882,2023-06-21,pitching
TEX,0.36179800002916407,0.06797583081570997,0.3640483383685801,87.68972809667673,662,13.996978851963746,2023-06-21,pitching
TOR,0.36630467825687635,0.06934306569343066,0.39963503649635035,88.34653284671533,548,15.687956204379562,2023-06-21,pitching
WSH,0.4094753337196679,0.07857142857142857,0.4257142857142857,89.97842857142858,700,13.008571428571429,2023-06-21,pitching
ATH,0.3864959426105963,0.07928802588996764,0.4190938511326861,89.22621359223301,618,12.412621359223301,2023-07-22,batting
ATL,0.43276410150112987,0.10349462365591398,0.46908602150537637,91.21451612903226,744,11.956989247311828,2023-07-22,batting
AZ,0.3471581950577642,0.04564315352697095,0.3817427385892116,87.7881051175657,723,11.102209944751381,2023-07-22,batting
BAL,0.37463186065405485,0.07052186177715092,0.42595204513399154,88.9851904090268,709,11.556338028169014,2023-07-22,batting
BOS,0.3750968867303491,0.06213872832369942,0.43352601156069365,89.09696531791907,692,13.47041847041847,2023-07-22,batting
CHC,0.3854954418486154,0.07062146892655367,0.3714689265536723,87.92161016949153,708,13.590395480225988,2023-07-22,batting
CIN,0.36976937661405823,0.05825242718446602,0.3964401294498382,88.15760517799353,618,13.799352750809062,2023-07-22,batting
CLE,0.34791114263117895,0.04918032786885246,0.34562841530054644,87.05191256830601,732,11.03688524590164,2023-07-22,batting
COL,0.3787477482652844,0.06901840490797546,0.3880368098159509,87.75444785276073,652,12.401840490797547,2023-07-22,batting
CWS,0.35914086606738177,0.053516819571865444,0.36085626911314983,87.8565749235474,654,9.759146341463415,2023-07-22,batting
DET,0.39719440718100985,0.072992700729927,0.4,88.38934306569342,685,10.540145985401459,2023-07-22,batting
HOU,0.3786697106427696,0.07537012113055182,0.3755047106325707,87.98775235531629,743,13.356662180349932,2023-07-22,batting
KC,0.380956917991784,0.07006369426751592,0.42165605095541403,89.02025477707005,785,13.430573248407644,2023-07-22,batting
LAA,0.3578574747671149,0.07865168539325842,0.39646869983948635,89.11412520064205,623,13.158908507223114,2023-07-22,batting
LAD,0.3698386384383254,0.07692307692307693,0.3916083916083916,88.48573426573427,715,15.462937062937064,2023-07-22,batting
MIA,0.3622232986523774,0.06647807637906648,0.37623762376237624,88.18132956152758,707,10.364922206506366,2023-07-22,batting
MIL,0.33179572562445786,0.05131761442441054,0.37586685159500693,88.50610263522886,721,12.625520110957003,2023-07-22,batting
MIN,0.41752231223866487,0.09752066115702479,0.4132231404958678,89.72,605,13.830033003300331,2023-07-22,batting
NYM,0.3777260787233121,0.07258064516129033,0.40456989247311825,89.24798387096774,744,13.219086021505376,2023-07-22,batting
NYY,0.3913850862027615,0.08319467554076539,0.4176372712146423,89.53677204658902,601,13.18136439267887,2023-07-22,batting
PHI,0.40082565788878244,0.08062234794908062,0.39745403111739747,88.23408769448373,707,12.306497175141242,2023-07-22,batting
PIT,0.3710227454007687,0.07692307692307693,0.3905325443786982,88.22174556213018,676,13.80621301775148,2023-07-22,batting
SD,0.3957334865260754,0.09549795361527967,0.43656207366984995,89.7462482946794,733,13.125511596180083,2023-07-22,batting
SEA,0.4187836777719002,0.10704225352112676,0.4197183098591549,89.79971830985916,710,15.173239436619719,2023-07-22,batting
SF,0.35666852626219314,0.06583072100313479,0.3714733542319749,87.45595611285266,638,11.626959247648903,2023-07-22,batting
STL,0.3843114446106966,0.07378129117259552,0.391304347826087,88.71910408432149,759,12.262187088274045,2023-07-22,batting
TB,0.37905263016604795,0.07210031347962383,0.3949843260188088,89.11567398119122,638,11.9858934169279,2023-07-22,batting
TEX,0.37514894990659325,0.07929515418502203,0.40969162995594716,89.18619676945669,681,15.170337738619677,2023-07-22,batting
TOR,0.35540295505209346,0.06647807637906648,0.3507779349363508,87.0995756718529,707,14.861581920903955,2023-07-22,batting
WSH,0.3393450663433985,0.04365079365079365,0.3531746031746032,87.00582010582009,756,12.197089947089948,2023-07-22,batting
ATH,0.39142346888999313,0.07339449541284404,0.382262996941896,87.82553516819573,654,13.762996941896024,2023-07-22,pitching
ATL,0.3738943166946541,0.05760709010339734,0.3722304283604136,88.49290989660265,677,11.64549483013294,2023-07-22,pitching
AZ,0.4099346419740658,0.09610027855153204,0.4373259052924791,89.86866295264623,718,14.600278551532034,2023-07-22,pitching
BAL,0.3556443993622388,0.05255023183925812,0.401854714064915,88.63647604327667,647,9.89953632148377,2023-07-22,pitching
BOS,0.36129274922027815,0.07142857142857142,0.38285714285714284,87.98228571428571,700,12.125714285714286,2023-07-22,pitching
CHC,0.3884247599425865,0.06162464985994398,0.40756302521008403,88.38781512605043,714,11.918767507002801,2023-07-22,pitching
CIN,0.380126696246333,0.06927710843373494,0.3825301204819277,88.7644578313253,664,14.438253012048193,2023-07-22,pitching
CLE,0.374144434053511,0.06791907514450866,0.40028901734104044,88.74450867052023,692,14.935158501440922,2023-07-22,pitching
COL,0.37279302069591647,0.07207207207207207,0.40540540540540543,88.74324324324324,777,13.83011583011583,2023-07-22,pitching
CWS,0.37970445433934336,0.06983655274888559,0.38781575037147104,88.95037147102526,673,14.170876671619613,2023-07-22,pitching
DET,0.37590530232048086,0.06685236768802229,0.40807799442896936,89.49261838440111,718,13.090529247910863,2023-07-22,pitching
HOU,0.38739767970200073,0.0957004160887656,0.4133148404993065,89.91775312066574,721,14.601108033240997,2023-07-22,pitching
KC,0.3974288432502871,0.08310626702997276,0.385558583106267,88.9474114441417,734,13.407356948228882,2023-07-22,pitching
LAA,0.39817904474996135,0.08902077151335312,0.37537091988130566,88.2200296735905,674,13.712166172106825,2023-07-22,pitching
LAD,0.378424087498655,0.07761194029850746,0.4134328358208955,89.20597014925373,670,16.3089552238806,2023-07-22,pitching
MIA,0.40060944882741956,0.07407407407407407,0.4166666666666667,88.43919753086419,648,11.696456086286595,2023-07-22,pitching
MIL,0.36566097981251733,0.06896551724137931,0.39184952978056425,88.4141065830721,638,12.230046948356808,2023-07-22,pitching
MIN,0.3836493319821941,0.07302533532041729,0.4038748137108793,88.55961251862891,671,13.333830104321908,2023-07-22,pitching
NYM,0.37624415926550525,0.06955380577427822,0.40813648293963256,89.11942257217848,762,13.485564304461942,2023-07-22,pitching
NYY,0.37315745586157023,0.07407407407407407,0.3961352657004831,88.67600644122383,621,10.526570048309178,2023-07-22,pitching
PHI,0.3579643111958182,0.06684856753069578,0.3601637107776262,87.18635743519782,733,12.290586630286494,2023-07-22,pitching
PIT,0.3878030859745853,0.07153284671532846,0.4131386861313869,88.50613138686131,685,13.575182481751824,2023-07-22,pitching
SD,0.36538488943535674,0.06158357771260997,0.3914956011730205,87.9208211143695,682,11.5791788856305,2023-07-22,pitching
SEA,0.3651291727803024,0.06732117812061711,0.4165497896213184,88.84586255259467,713,12.151048951048951,2023-07-22,pitching
SF,0.3604504214973896,0.05563480741797432,0.37375178316690444,88.430242510699,701,7.636752136752137,2023-07-22,pitching
STL,0.37044126712476655,0.06905370843989769,0.3989769820971867,88.61521739130436,782,10.08695652173913,2023-07-22,pitching
TB,0.3643654255483345,0.07057057057057058,0.36036036036036034,87.25495495495495,666,10.306306306306306,2023-07-22,pitching
TEX,0.3336583830875434,0.06906906906906907,0.3888888888888889,88.43138138138139,666,12.01951951951952,2023-07-22,pitching
TOR,0.36687641561789114,0.0783132530120482,0.3885542168674699,87.99066265060242,664,13.316265060240964,2023-07-22,pitching
WSH,0.39577814606670814,0.08762169680111266,0.40751043115438107,88.81933240611961,719,15.691237830319889,2023-07-22,pitching
ATH,0.3718988455672651,0.07975460122699386,0.37116564417177916,88.00429447852761,652,11.900459418070444,2023-08-22,batting
ATL,0.4293173647801421,0.1063321385902031,0.43727598566308246,89.89569892473118,837,11.107270560190702,2023-08-22,batting
AZ,0.3483281423545718,0.04815864022662889,0.37960339943342775,87.53144475920679,706,9.288543140028288,2023-08-22,batting
BAL,0.37985415998460914,0.06779661016949153,0.3963494132985658,88.84106910039114,767,12.71484375,2023-08-22,batting
BOS,0.36467104429729336,0.07526881720430108,0.41935483870967744,89.1603494623656,744,13.391946308724831,2023-08-22,batting
CHC,0.370042615805592,0.06327543424317618,0.39081885856079407,88.69119106699753,806,11.244416873449131,2023-08-22,batting
CIN,0.3565990862168851,0.06619718309859154,0.3873239436619718,87.77746478873239,710,11.153521126760563,2023-08-22,batting
CLE,0.3398847464451949,0.05361596009975062,0.3092269326683292,86.88192019950125,802,11.32876712328767,2023-08-22,batting
COL,0.36167326302596625,0.07027818448023426,0.3616398243045388,87.10234260614935,683,9.68859649122807,2023-08-22,batting
CWS,0.3521742065024497,0.06206896551724138,0.39586206896551723,88.48400000000001,725,10.575172413793103,2023-08-22,batting
DET,0.3597751733023951,0.06417910447761194,0.3761194029850746,88.05059701492537,670,14.140298507462687,2023-08-22,batting
HOU,0.3925756495808338,0.0830188679245283,0.3949685534591195,87.97295597484276,795,13.282663316582914,2023-08-22,batting
KC,0.38582588139328805,0.06779661016949153,0.39907550077041604,88.45762711864407,649,15.192604006163329,2023-08-22,batting
LAA,0.35235518037321106,0.06686478454680535,0.3848439821693908,86.97904903417533,673,12.63595839524517,2023-08-22,batting
LAD,0.39101113587726904,0.06447534766118837,0.4083438685208597,88.72932996207332,791,14.248737373737374,2023-08-22,batting
MIA,0.3774960326135865,0.07313642756680731,0.3853727144866385,88.0464135021097,711,9.642756680731365,2023-08-22,batting
MIL,0.3640745699774066,0.06276150627615062,0.3793584379358438,87.61589958158996,717,10.20891364902507,2023-08-22,batting
MIN,0.3889263391580663,0.08357348703170028,0.4207492795389049,89.45172910662824,694,16.461095100864554,2023-08-22,batting
NYM,0.36134305764587604,0.0704647676161919,0.3793103448275862,88.24857571214393,667,16.59670164917541,2023-08-22,batting
NYY,0.39514096996586084,0.08507462686567165,0.4388059701492537,89.70402985074627,670,12.226865671641791,2023-08-22,batting
PHI,0.4167855360944978,0.10354609929078014,0.4453900709219858,89.98468085106383,705,13.975886524822695,2023-08-22,batting
PIT,0.3681134186587813,0.06134094151212553,0.42796005706134094,88.65506419400856,701,9.263532763532764,2023-08-22,batting
SD,0.3644583394541188,0.062146892655367235,0.3545197740112994,87.37344632768362,708,13.662905500705218,2023-08-22,batting
SEA,0.3854275577848675,0.08875739644970414,0.40236686390532544,88.92455621301775,676,16.37278106508876,2023-08-22,batting
SF,0.35558476582849713,0.06534090909090909,0.37073863636363635,87.79389204545454,704,14.457386363636363,2023-08-22,batting
STL,0.3624466291499065,0.06502890173410404,0.4031791907514451,88.04595375722543,692,11.908959537572255,2023-08-22,batting
TB,0.38292490311749794,0.07275320970042796,0.39229671897289586,88.17489300998574,701,11.881766381766381,2023-08-22,batting
TEX,0.38746219976206075,0.0746054519368723,0.4131994261119082,89.32955523672884,697,14.232424677187948,2023-08-22,batting
TOR,0.3490332954859457,0.06394557823129252,0.345578231292517,86.68544217687075,735,14.134510869565217,2023-08-22,batting
WSH,0.32632149079650297,0.05188067444876784,0.33852140077821014,87.04254215304799,771,10.862516212710766,2023-08-22,batting
ATH,0.3689164456110703,0.06620689655172414,0.37103448275862067,87.53475862068966,725,16.928275862068965,2023-08-22,pitching
ATL,0.3792269290250076,0.07285714285714286,0.38571428571428573,88.46742857142857,700,13.364285714285714,2023-08-22,pitching
AZ,0.3676994278447756,0.07020057306590258,0.42120343839541546,88.8095988538682,698,12.446991404011461,2023-08-22,pitching
BAL,0.3824338818610799,0.07810499359795134,0.39820742637644047,88.03290653008962,781,9.140664961636828,2023-08-22,pitching
BOS,0.38527518966856417,0.06747638326585695,0.4183535762483131,88.70917678812415,741,12.491228070175438,2023-08-22,pitching
CHC,0.3837976489249722,0.05726256983240224,0.39106145251396646,87.8118715083799,716,8.243732590529248,2023-08-22,pitching
CIN,0.34468326568289576,0.06368563685636856,0.3902439024390244,87.85311653116531,738,16.02710027100271,2023-08-22,pitching
CLE,0.37317234130872007,0.06282722513089005,0.39267015706806285,87.9170157068063,764,14.822454308093995,2023-08-22,pitching
COL,0.3995101343386315,0.08651399491094147,0.410941475826972,89.26997455470737,786,14.726810673443456,2023-08-22,pitching
CWS,0.36320449201777505,0.05320600272851296,0.37244201909959074,88.01937244201909,733,13.08731241473397,2023-08-22,pitching
DET,0.37853502188828203,0.07759882869692533,0.4158125915080527,88.74714494875549,683,12.035139092240117,2023-08-22,pitching
HOU,0.38793402968948987,0.09361702127659574,0.4056737588652482,89.60652482269504,705,15.192634560906516,2023-08-22,pitching
KC,0.36747337968848987,0.0712166172106825,0.4065281899109792,88.88516320474777,674,11.273668639053254,2023-08-22,pitching
LAA,0.36524604365050867,0.0740242261103634,0.360699865410498,87.75545087483177,743,15.146702557200538,2023-08-22,pitching
LAD,0.3577157761912918,0.06300268096514745,0.3445040214477212,86.77533512064343,746,13.89544235924933,2023-08-22,pitching
